decile,n,defaults,score_min,score_max,default_rate,cum_defaults_pct,cum_goods_pct,lift
1,10006,3566,0.656581280633397,0.87839988820015,0.3563861682990206,0.2391041973984176,0.07563923374167557,2.390922493573723
2,10005,2553,0.5900882243414705,0.6565750651574093,0.25517241379310346,0.41028563765589376,0.16316463278561444,1.7118999505209176
3,10006,2068,0.5328232051985864,0.590083833116208,0.206675994403358,0.5489472978409549,0.25639821002807106,1.3865473125940715
4,10005,1704,0.4794744940398306,0.5328230347628148,0.17031484257871066,0.6632023601984712,0.35389530308546996,1.1426077225568523
5,10006,1492,0.4278012776908357,0.47947403454481313,0.14911053367979213,0.763242590854231,0.45389412856320693,1.0003523164363417
6,10005,1145,0.374700842125318,0.42780127477668867,0.11444277861069466,0.8400160922623039,0.5579568010711643,0.7677733816476501
7,10005,959,0.3184314319097341,0.37470057356100883,0.0958520739630185,0.9043180903848733,0.664204084988431,0.6430521161572894
8,10006,713,0.252712437349181,0.31842911007198565,0.07125724565260844,0.9521255196459703,0.7733524388954792,0.4780504032299676
9,10005,471,0.17062916735742714,0.25271069523102263,0.047076461769115445,0.9837065844173261,0.8853313914565251,0.3158264303546229
10,10006,243,0.023304216860554384,0.17059784256175717,0.02428542874275435,1.0,1.0,0.16292601400404225
