decile,n,defaults,score_min,score_max,default_rate,cum_defaults_pct,cum_goods_pct,lift
1,10006,3397,0.6438081651302152,0.9999999997594173,0.3394963022186688,0.22777256269277188,0.07762417636626302,2.2776118089371664
2,10005,2543,0.5698918871679389,0.6437775823796108,0.2541729135432284,0.39828349202091995,0.16526702763650886,1.7051945061397156
3,10006,2039,0.515201336496542,0.5698897172345074,0.203777733359984,0.5350006705109294,0.25884121633525564,1.367103467301408
4,10005,1696,0.46663314305686326,0.5151995234942178,0.1695152423788106,0.6487193241249832,0.3564322711737001,1.1372433670518904
5,10006,1465,0.4218918564882004,0.4666206553788429,0.146412152708375,0.7469491752715569,0.4567482176624658,0.9822494259914482
6,10005,1244,0.3776190003265838,0.4218890824515605,0.12433783108445777,0.8303607348799785,0.5596481131299844,0.8341572810215516
7,10005,991,0.33124551339606334,0.37761487194708043,0.09905047476261869,0.8968083679763981,0.6655195499230688,0.6645095381771364
8,10006,734,0.2801309597026484,0.33124184782698984,0.0733559864081551,0.9460238701890841,0.7744212541548725,0.4921304291315515
9,10005,521,0.2150469768146014,0.2801235540561327,0.05207396301849075,0.9809574896070806,0.8858129455843835,0.34935365226063375
10,10006,284,0.022978955635542947,0.21504346435801222,0.02838297021786928,1.0,1.0,0.1904155883833251
