decile,n,defaults,score_min,score_max,default_rate,cum_defaults_pct,cum_goods_pct,lift
1,10006,3389,0.6059986653122245,0.7822059871214614,0.3386967819308415,0.22723615394930938,0.07771813814730859,2.2722479895460874
2,10005,2540,0.5523046528343761,0.6059967174880025,0.2538730634682659,0.39754592999865895,0.1653962250854465,1.7031828728253549
3,10006,2046,0.5043735399268442,0.5522879697928839,0.2044773136118329,0.5347324661391981,0.25888819722577844,1.3717968092686028
4,10005,1704,0.45819895914128816,0.5043732320152052,0.17031484257871066,0.6489875284967145,0.35638529028317734,1.1426077225568523
5,10006,1443,0.41410615587816246,0.45819798968732495,0.14421347191684988,0.7457422555987663,0.4569596316698183,0.9674989226659793
6,10005,1279,0.37390318481578805,0.4141031756105281,0.1278360819590205,0.8315006034598363,0.5594484443452625,0.8576263363557594
7,10005,1021,0.3330112798734565,0.3739017798700259,0.10204897551224387,0.8999597693442403,0.6649675244594261,0.6846258713207429
8,10006,691,0.2853610232801651,0.3330055831729745,0.06905856486108335,0.9462920745608153,0.7743742732643497,0.4632998999044987
9,10005,540,0.2188597110110614,0.2853577198101816,0.053973013493253376,0.9824996647445353,0.8855428054638775,0.3620939965849179
10,10006,261,0.061853954909157745,0.21885703661744832,0.02608434939036578,1.0,1.0,0.17499460763397132
