decile,n,defaults,score_min,score_max,default_rate,cum_defaults_pct,cum_goods_pct,lift
1,10006,3588,0.65579444,0.90964836,0.35858484909054567,0.24057932144293953,0.07538083884380029,2.4056729968991917
2,10005,2516,0.5871532,0.6557887,0.2514742628685657,0.4092798712619016,0.16334081112507487,1.6870898063104696
3,10006,2051,0.52993995,0.587145,0.20497701379172498,0.5468016628671047,0.2567740571522533,1.3751491963880274
4,10005,1702,0.47701076,0.5299368,0.17011494252873563,0.6609226230387555,0.3542946406549136,1.1412666336806117
5,10006,1438,0.42555103,0.47700575,0.14371377173695782,0.7573420946761432,0.45492770815470807,0.9641465355465545
6,10005,1232,0.37305185,0.42554834,0.12313843078460769,0.8399490411693711,0.557968546293795,0.826110747764109
7,10005,935,0.31776133,0.3730505,0.09345327336331834,0.9026418130615529,0.6644977155541983,0.6269590496424041
8,10006,726,0.2536627,0.31775847,0.0725564661203278,0.9513209065307765,0.7734933815670476,0.4867666097404719
9,10005,471,0.17051104,0.25366268,0.047076461769115445,0.9829019713021322,0.8854723341280935,0.3158264303546229
10,10006,255,0.021516502,0.17050596,0.0254847091744953,1.0,1.0,0.1709717430906616
