feature,mean_abs_shap,share
sub_grade_ord,0.29845660824368053,0.13781589814346157
acc_open_past_24mths,0.12499391311753306,0.05771743001479802
dti,0.09830158622657358,0.04539192974973782
grade_ord,0.09468828324267616,0.043723444005961974
loan_to_income,0.09129396723043538,0.04215607810790902
log_annual_inc,0.08378431211592174,0.038688405301316876
fico,0.07319635752960812,0.033799291002920735
int_rate,0.059184265640852905,0.027329040470083346
total_bc_limit,0.05187973902188571,0.02395608819259896
mths_since_recent_bc,0.05133733736723724,0.023705627760076568
mo_sin_old_rev_tl_op,0.05082245039321293,0.02346787255946264
home_ownership_RENT,0.04832377666756054,0.022314080168351978
emp_length_years,0.0410262253787297,0.018944348832743353
term_months,0.04055407758370434,0.01872632895772438
percent_bc_gt_75,0.03873880466222632,0.017888105037935205
mths_since_recent_inq,0.036213322431743744,0.016721933500010555
mo_sin_rcnt_rev_tl_op,0.0351910269677179,0.01624987637796594
credit_history_months,0.03000615261819303,0.013855698814112666
revol_bal_to_income,0.029432379728614295,0.013590752339739078
num_rev_tl_bal_gt_0,0.029201385113038242,0.01348408782123753
revol_util,0.029165325785085582,0.01346743699652472
num_tl_op_past_12m,0.02853936453546034,0.013178391924519908
mo_sin_rcnt_tl,0.028111895123312296,0.012981002825612972
num_il_tl,0.026985189689230846,0.012460733154739162
pct_tl_nvr_dlq,0.025744093067820193,0.011887641988927635
mths_since_last_delinq,0.025241492403858517,0.011655560138507274
verification_status_Source Verified,0.02504294141048769,0.011563876849470044
bc_util,0.024531271533835802,0.011327607181933782
avg_cur_bal,0.02444901594502994,0.011289624682851895
mort_acc,0.023119951191371745,0.01067591318289853
home_ownership_MORTGAGE,0.02274021650123475,0.010500566161147447
bc_open_to_buy,0.02165971071665729,0.010001629729392628
inq_last_6mths,0.020561513837937646,0.009494524223939982
total_il_high_credit_limit,0.02031951395694128,0.009382777892885738
total_rev_hi_lim,0.01990287625185833,0.00919039046389118
loan_amnt,0.019248338250227634,0.00888814973585171
installment_to_income,0.019149105916505014,0.008842328022345912
num_bc_sats,0.01879056797772218,0.0086767688533175
tot_hi_cred_lim,0.01856706514905685,0.008573563756766356
purpose_credit_card,0.018466448292019957,0.00852710272310886
num_bc_tl,0.01831254102977295,0.008456034209323247
mo_sin_old_il_acct,0.017850678242230838,0.008242763559164987
total_acc,0.015686936165469154,0.007243629851204866
installment,0.015175687324175579,0.007007554601766424
num_rev_accts,0.013276657639364912,0.006130654997655151
addr_state_NY,0.013012223071279532,0.0060085491822894875
revol_bal,0.011922097924377614,0.005505170895264268
addr_state_infrequent_sklearn,0.011287030185402239,0.005211920793201293
delinq_2yrs,0.010854005092991998,0.005011966292678229
purpose_small_business,0.01008814146887319,0.004658319630825251
num_actv_bc_tl,0.009767080413495706,0.00451006585964519
tot_cur_bal,0.00972095885986601,0.004488768682227497
num_actv_rev_tl,0.008900090984723413,0.004109723151503226
num_accts_ever_120_pd,0.008792222204209261,0.004059913455696256
addr_state_CO,0.007674438559219773,0.003543763527333729
addr_state_IL,0.007601222885055077,0.003509955316644193
total_bal_ex_mort,0.007593033688702077,0.0035061738575667633
addr_state_TX,0.0071291705938000246,0.0032919795416300993
num_op_rev_tl,0.007030619583138376,0.0032464724371729188
addr_state_GA,0.0066556463745441885,0.003073324086307956
addr_state_WA,0.005814276411573409,0.0026848114720284424
missingindicator_emp_length_years,0.005373114748469415,0.002481099812953702
addr_state_SC,0.005321923675016663,0.00245746172430043
addr_state_FL,0.0049013259609615376,0.002263245713937318
addr_state_NJ,0.004429912003669383,0.0020455646972431353
addr_state_OR,0.004332617185517106,0.002000637654658061
verification_status_Verified,0.003997151029712594,0.0018457321565657357
addr_state_KS,0.003542435516725351,0.0016357618456690304
verification_status_Not Verified,0.0032929819024255474,0.0015205736643713625
addr_state_NV,0.003041101209563446,0.0014042647506030815
